"","province_code","house_cat","year","month","n","median","mean","stand_dev","variance","IQR","q25","q75","median_scaled","date"
"1835","sulawesi-selatan","B",2017,2,688,6500000,6987426.17808399,3138449.64201565,9849866155468.19,4402055.05279035,4421474.35897436,8823529.41176471,97.2299168975069,Feb 2017
"1836","sulawesi-selatan","B",2017,3,750,7129629.62962963,7386862.23367254,3141910.63047698,9871602409904.28,4634732.88827991,4795673.07692308,9430405.96520298,106.648199445983,Mar 2017
"1837","sulawesi-selatan","B",2017,4,728,8125000,8341970.8733577,3259747.10760074,10625951205511.4,5241785.71428571,5500000,10741785.7142857,121.537396121884,Apr 2017
"1838","sulawesi-selatan","B",2017,5,976,8145833.33333333,8394833.00147595,3491984.88749108,12193958454466.1,6112333.90043605,5500000,11612333.900436,121.849030470914,May 2017
"1839","sulawesi-selatan","B",2017,6,489,8333333.33333333,8348598.55785411,3215887.99356553,10341935587159,4961538.46153846,5500000,10461538.4615385,124.653739612188,Jun 2017
"1840","sulawesi-selatan","C",2016,1,548,6e+06,7007229.83082455,3318702.22765019,11013784475810.3,4259259.25925926,4629629.62962963,8888888.88888889,100,Jan 2016
"1841","sulawesi-selatan","C",2016,2,691,6e+06,7014045.43198292,3225408.458253,10403259722570,4599982.70374983,4459360.73059361,9059343.43434343,100,Feb 2016
"1842","sulawesi-selatan","C",2016,3,515,6e+06,6654548.86830509,2951372.55707469,8710599970653.57,3952502.31696015,4509036.14457831,8461538.46153846,100,Mar 2016
"1843","sulawesi-selatan","C",2016,4,488,7e+06,7280601.66087888,3076512.31699739,9464928036636.68,4245039.68253968,4761904.76190476,9006944.44444444,116.666666666667,Apr 2016
"1844","sulawesi-selatan","C",2016,5,714,6666666.66666667,6832568.20753934,2915569.41857224,8500545034513.69,4107142.85714286,4642857.14285714,8750000,111.111111111111,May 2016
"1845","sulawesi-selatan","C",2016,6,395,6363636.36363636,6804988.31046964,3327839.71721076,11074517183445.4,5421196.58119658,3918803.41880342,9340000,106.060606060606,Jun 2016
"1846","sulawesi-selatan","C",2016,7,479,6996093.75,7291691.84643227,2856000.15813805,8156736903284.58,3627732.24043716,5372267.75956284,9e+06,116.6015625,Jul 2016
"1847","sulawesi-selatan","C",2016,8,809,6518518.51851852,6870875.02857803,3091488.41400717,9557300613940.54,4579790.24943311,4413265.30612245,8993055.55555556,108.641975308642,Aug 2016
"1848","sulawesi-selatan","C",2016,9,546,6322451.69886742,6948148.62118407,3169957.53544676,10048630776535.7,4786324.78632479,4444444.44444444,9230769.23076923,105.374194981124,Sep 2016
"1849","sulawesi-selatan","C",2016,10,718,6944444.44444444,7323581.77171727,3160176.0856959,9986712892604.24,4793776.68308703,4523809.52380952,9317586.20689655,115.740740740741,Oct 2016
"1850","sulawesi-selatan","C",2016,11,607,6462585.03401361,7029866.79164663,3177202.42488951,10094615248723.8,4861856.62850018,4341630.59163059,9203487.22013077,107.709750566893,Nov 2016
"1851","sulawesi-selatan","C",2016,12,478,6250000,6933704.89645763,2942303.90996985,8657152298623.84,4861184.95475113,4400000,9261184.95475113,104.166666666667,Dec 2016
"1852","sulawesi-selatan","C",2017,1,601,6666666.66666667,7258136.08880369,3284716.50077413,10789362490457.8,4791666.66666667,4583333.33333333,9375000,111.111111111111,Jan 2017
"1853","sulawesi-selatan","C",2017,2,510,6787481.32935026,7482549.63788348,3222278.59425365,10383079338985.3,5271348.08579962,4728651.91420038,1e+07,113.124688822504,Feb 2017
"1854","sulawesi-selatan","C",2017,3,589,7456140.35087719,7738047.18850334,3299380.9965448,10885914960361,5250000,4750000,1e+07,124.269005847953,Mar 2017
"1855","sulawesi-selatan","C",2017,4,530,7136363.63636364,7385032.90334231,3212128.1665286,10317767358206.4,4880968.97064288,4619565.2173913,9500534.18803419,118.939393939394,Apr 2017
"1856","sulawesi-selatan","C",2017,5,674,7028225.80645161,7385429.31479858,3196446.68168032,10217271388825.1,5202546.2962963,4797453.7037037,1e+07,117.137096774194,May 2017
"1857","sulawesi-selatan","C",2017,6,409,7222222.22222222,7449223.66161244,3187678.62312365,10161295004319.5,5089285.71428571,4910714.28571429,1e+07,120.37037037037,Jun 2017
"1858","sulawesi-selatan","D",2016,1,203,6666666.66666667,6187153.82969576,2244043.69019386,5035732083498.87,2384615.38461538,4615384.61538462,7e+06,100,Jan 2016
"1859","sulawesi-selatan","D",2016,2,187,6e+06,5949893.13669067,2110669.30193146,4454924902115.83,2051282.05128205,4615384.61538462,6666666.66666667,90,Feb 2016
"1860","sulawesi-selatan","D",2016,3,130,6e+06,6079813.25770842,2202378.42477866,4850470725930.52,2618153.69133265,4574404.76190476,7192558.45323741,90,Mar 2016
"1861","sulawesi-selatan","D",2016,4,81,6e+06,6275190.47747933,2513313.33904692,6316743940231.19,4092261.9047619,4241071.42857143,8333333.33333333,90,Apr 2016
"1862","sulawesi-selatan","D",2016,5,123,5217391.30434783,5787487.83238142,2226791.71882405,4958601359023.38,3328052.99539171,4216589.86175115,7544642.85714286,78.2608695652174,May 2016
"1863","sulawesi-selatan","D",2016,6,87,5e+06,5606016.10753681,1967131.61606255,3869606794912.86,1566350.31635032,4615384.61538462,6181734.93173493,75,Jun 2016
"1864","sulawesi-selatan","D",2016,7,115,5e+06,5648360.18865862,2030112.19024347,4121355504975.15,1838435.37414966,4494897.95918367,6333333.33333333,75,Jul 2016
"1865","sulawesi-selatan","D",2016,8,132,5245011.7370892,5665576.55972468,2258798.60554425,5102171140408.65,2957625.70762571,4e+06,6957625.70762571,78.675176056338,Aug 2016
"1866","sulawesi-selatan","D",2016,9,134,5e+06,5970795.29909758,2773815.27017289,7694051153044.29,3702781.59340659,4e+06,7702781.59340659,75,Sep 2016
"1867","sulawesi-selatan","D",2016,10,191,5e+06,5543246.89983919,2302625.96484634,5302086333984.52,3424122.17412217,3670033.67003367,7094155.84415584,75,Oct 2016
"1868","sulawesi-selatan","D",2016,11,113,5888888.88888889,6298581.30041621,2420485.58672404,5858750475538.83,2884615.38461538,4567307.69230769,7451923.07692308,88.3333333333333,Nov 2016
"1869","sulawesi-selatan","D",2016,12,114,4848290.5982906,5377050.12732341,1996459.69177691,3985851300889.97,1762711.86440678,4237288.13559322,6e+06,72.724358974359,Dec 2016
"1870","sulawesi-selatan","D",2017,1,138,5597326.64995823,6151736.75302156,2693974.58164533,7257499046551.12,2952821.60194175,4078428.39805825,7031250,83.9598997493734,Jan 2017
"1871","sulawesi-selatan","D",2017,2,79,5200000,6075846.1152223,3110060.41241701,9672475768883.49,4977272.72727273,3464285.71428571,8441558.44155844,78,Feb 2017
"1872","sulawesi-selatan","D",2017,3,91,5405405.4054054,5927592.39643513,2576706.67120008,6639417269406.99,2892784.55284553,4e+06,6892784.55284553,81.0810810810811,Mar 2017
"1873","sulawesi-selatan","D",2017,4,71,6e+06,5959032.40847768,2352506.32657715,5534286016585.53,3764610.38961039,3988636.36363636,7753246.75324675,90,Apr 2017
"1874","sulawesi-selatan","D",2017,5,87,6e+06,6197678.84257228,2834287.28346524,8033184405212.75,4336647.56394577,3902243.58974359,8238891.15368936,90,May 2017
"1875","sulawesi-selatan","D",2017,6,72,5345238.0952381,6005008.0093343,3094545.63733797,9576212701567.45,4526755.65175565,3439153.43915344,7965909.09090909,80.1785714285714,Jun 2017
